study_hours,test_score
4.018826,64.506935
0.86719275,43.143955
6.3433065,74.450905
1.978364,49.588917
5.1818314,63.25671
9.874878,83.964966
3.4609234,56.30732
3.4240413,65.56654
8.016564,79.643166
3.1617336,54.437103
4.570613,69.31452
9.668693,81.11396
2.9501314,53.177322
1.4229488,40.90388
2.2017813,49.338734
3.613772,50.204643
2.6275063,50.386307
2.4053411,54.7021
7.0197225,68.402534
5.8496885,75.427284
3.399692,46.813175
1.1154431,45.04204
3.4257007,51.660435
2.8898044,48.183006
3.3729053,59.899345
0.48938513,38.281013
6.0771456,67.98968
1.3263822,48.131138
1.1060041,49.13691
0.91483414,48.216064
7.0869184,73.71148
1.9898665,52.344456
2.936246,55.07791
8.919203,80.80368
7.6548214,82.98406
7.8669558,81.50473
0.2524674,46.879475
1.4145011,52.04034
3.1124449,63.12776
9.130488,86.91716
5.5115023,67.76893
1.2605143,42.852116
5.031309,62.34578
1.1166459,49.70971
3.9045036,70.86426
3.6251247,57.79504
9.328308,81.27131
6.5486836,79.6202
4.1281443,65.759964
5.8446436,74.01059
3.5566723,57.879013
6.964502,69.47236
6.9778194,71.12964
6.3427305,74.71173
3.0511153,49.960365
9.265754,84.47615
4.27815,54.009434
3.0534167,52.875614
8.13157,80.07146
9.075283,82.22388
9.975799,83.551674
6.481292,75.94937
3.2955308,61.768654
7.53946,78.27022
9.289772,87.31378
0.09582937,43.040905
4.380565,56.99356
1.5901726,53.580223
5.931799,70.93593
7.067924,82.56318
3.9670606,66.18067
4.581714,51.982872
7.250554,72.81944
4.1596513,60.134815
0.8011025,52.15338
9.00068,77.275
2.4834275,51.56914
4.4507074,63.52997
5.471632,71.886406
4.699516,55.43275
0.29657006,46.408756
7.2939997,72.66513
2.7288425,47.28115
2.406702,48.899796
6.194577,77.82918
2.3906898,49.76
2.6892018,46.849365
3.3152504,65.54834
3.121612,62.67063
2.9118128,54.44323
3.6515708,58.20239
6.299379,66.520485
0.95391035,43.27278
1.9735986,46.97954
5.072957,71.078964
5.6953406,65.5032
7.761462,74.90289
1.4877802,51.563934
6.5959845,79.083244
7.841949,78.89487
7.776301,84.61332
0.3428924,44.49133
3.091979,52.95273
0.7021719,47.76739
1.8359429,47.366043
7.7849145,81.13703
4.2534046,62.237934
7.1235566,73.11785
2.0649683,47.574585
5.7597995,69.8247
1.9757104,44.065083
7.49946,82.14218
2.813105,52.11138
3.7462044,49.085503
0.6618434,43.4841
5.0165176,62.665775
9.747401,82.60664
7.426891,68.93663
2.3322952,52.811195
5.0672436,63.08804
4.4517574,68.09624
0.9746289,53.524185
8.920456,94.883125
5.0806036,64.2294
6.052985,63.5368
2.980855,52.808205
2.6604044,59.069073
5.8244476,83.364876
6.8485546,67.08461
6.12149,71.32132
2.5902748,56.11583
9.854489,84.02783
4.263978,58.707577
1.9379246,53.316956
2.6614368,48.74052
9.922104,99.26483
5.000241,67.051895
4.321279,63.239994
2.9191911,50.423813
3.6892729,55.9855
0.78885734,47.234497
1.0265827,51.77529
7.9264474,75.49289
9.277247,87.798874
9.771502,95.794235
1.3902885,42.82721
7.704316,80.29407
1.9051671,48.122147
7.9828014,78.69771
8.607771,94.26228
8.869354,72.964615
8.600256,87.572174
8.127867,79.28909
5.097318,72.68054
7.297412,76.649994
3.2111454,53.315857
7.177174,73.41747
3.39299,56.27237
4.9160433,64.59056
0.64810574,39.117836
3.692627,52.64509
2.3706353,43.8699
3.313396,56.983006
1.8070674,44.4243
0.5027789,40.658184
5.3255825,75.97572
8.244896,77.97581
9.553747,88.26663
7.917771,72.64122
2.4083133,57.97878
0.05495131,40.412548
6.8965693,84.48812
7.80157,78.38482
0.7074398,35.7468
6.7929306,78.66287
9.227386,84.49962
5.3028827,60.151295
1.9877058,52.820824
9.099381,83.7172
7.1350794,73.08113
8.311006,79.591324
1.6185725,48.838287
7.9097276,78.24704
1.5846318,44.360626
9.947472,88.811226
2.8815012,59.70507
8.0128355,86.55334
6.001208,71.648834
6.3250523,72.36871
4.233225,65.687164
7.0536766,75.0704
2.9161406,56.262035
0.28710365,38.96177
3.0789847,50.919327
8.917693,87.25857
3.6836517,53.985203
6.5715923,76.83981
3.151368,55.222107
8.750746,87.019516
7.992451,74.885544
6.765068,67.08878
2.4441915,48.105453
0.91435075,41.8744
5.1882467,66.40199
2.0667112,54.60313
9.110969,82.372505
0.19512117,46.27353
7.2343416,78.511185
9.9845705,85.9519
7.504142,79.35784
6.7048936,75.67099
0.1892668,51.09063
9.809466,85.205376
4.144762,62.27302
0.32795787,28.530628
9.935814,88.45071
2.9653466,52.62141
4.646262,59.332817
9.576398,84.09915
1.5339965,55.244076
1.4625502,39.414543
5.8130865,76.02848
4.3307304,63.270985
6.151709,71.70317
0.8064735,45.922512
5.1495333,65.961464
2.7762012,56.81033
2.5419557,45.86596
0.4218155,47.693333
7.6510916,76.89132
5.9631824,68.0111
0.77278376,48.5916
8.96776,85.69522
6.5081043,71.48226
5.927816,68.74528
2.0643182,46.072433
5.7540226,74.604996
9.817701,87.86137
8.429422,78.21549
1.1056489,41.904728
9.564106,84.69328
5.387549,67.98454
7.4048257,84.54927
8.883382,78.743866
9.262546,82.756805
1.1023259,41.463745
9.37832,88.953735
1.6041255,58.343933
5.3748302,68.75743
1.506182,46.275272
3.9038336,56.8805
4.7727866,61.479008
4.401823,59.19647
4.21012,61.930138
5.394353,63.871143
9.932094,92.97575
7.905058,82.64855
7.79735,75.01686
7.0012374,71.63201
8.870906,82.41609
4.7692547,66.09453
5.397561,61.8582
6.0289855,78.59215
0.63934743,42.46175
0.97221553,51.949883
5.613007,71.43405
3.0437489,62.551495
4.9082513,59.00252
3.852706,55.54164
5.7783136,70.6857
8.2530775,79.8068
3.3417904,59.492275
9.004303,88.47613
8.947809,88.330956
1.1625093,42.95288
1.1388689,43.361176
0.9546256,45.281956
2.2598987,50.7024
3.0536187,62.264694
4.6236525,62.31485
3.784039,58.24822
2.4737573,50.56409
3.411532,57.580795
3.1912775,54.327026
9.905191,86.2746
3.1468558,47.62813
1.4199954,42.581997
7.078488,82.376396
4.711192,68.14504
8.82782,86.69929
8.124163,76.41792
9.593644,82.74561
1.3382024,42.72214
8.214317,76.3253
9.196194,91.20968
2.5308423,47.005436
9.5959,73.976715
8.748215,90.13953
5.0547557,66.37377
7.4107623,78.67836
